,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,TotalBsmtSF,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,PavedDrive,WoodDeckSF,SaleType,PorchTotalSF,ProxCondition_Norm,BldgType_Is_1Fam,Heating_Is_GasA,HeatingQC_Is_OK,SalePrice
0,60,FV_or_RL,65.0,8450,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,2Story,7,9_or_5,Gable,VinylSd,BrkFace,196.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,856.0,Y,SBrkr,856,854,1710,2,1,Gd,8,False,4_or_2,Y,0,Other,61,True,True,True,True,208500
1,20,FV_or_RL,80.0,9600,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,1Story,6,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1262.0,Y,SBrkr,1262,0,1262,2,0_or_2,TA,6,True,4_or_2,Y,298,Other,0,False,True,True,True,181500
2,60,FV_or_RL,68.0,11250,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_2,2Story,7,9_or_5,Gable,VinylSd,BrkFace,162.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,920.0,Y,SBrkr,920,866,1786,2,1,Gd,6,True,4_or_2,Y,0,Other,42,True,True,True,True,223500
3,70,FV_or_RL,60.0,9550,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_2,2Story,7,9_or_5,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,BrkTil,756.0,Y,SBrkr,961,756,1717,0_or_1,0_or_2,Gd,7,True,3,Y,0,Other,307,True,True,True,False,140000
4,60,FV_or_RL,84.0,14260,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_1,2Story,8,9_or_5,Gable,VinylSd,BrkFace,350.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1145.0,Y,SBrkr,1145,1053,2198,2,1,Gd,9,True,3,Y,192,Other,84,True,True,True,True,250000
5,50,FV_or_RL,85.0,14115,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_3,Other,5,9_or_5,Gable,VinylSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,PConc_or_Wood,796.0,Y,SBrkr,796,566,1362,0_or_1,1,TA,5,False,4_or_2,Y,40,Other,350,True,True,True,True,143000
6,20,FV_or_RL,75.0,10084,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_2,1Story,8,9_or_5,Gable,VinylSd,Stone,186.0,Gd,Ex_or_TA_or_Gd,PConc_or_Wood,1686.0,Y,SBrkr,1694,0,1694,2,0_or_2,Gd,7,True,4_or_2,Y,255,Other,57,True,True,True,True,307000
7,60,FV_or_RL,,10382,Pave,No_Alley_Access,IR1,Lvl,AllPub,Other,Gtl,Tier_2,2Story,7,7_or_8_or_6,Gable,HBoard_to_MetalSd,Stone,240.0,TA,Ex_or_TA_or_Gd,Stone_or_CBlock,1107.0,Y,SBrkr,1107,983,2090,2,1,TA,7,True,4_or_2,Y,235,Other,432,False,True,True,True,200000
8,50,RH_or_RM,51.0,6120,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,Other,7,9_or_5,Gable,BrkFace,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,BrkTil,952.0,Y,Other,1022,752,1774,2,0_or_2,TA,8,True,4_or_2,Y,90,Other,205,False,True,True,False,129900
9,190,FV_or_RL,50.0,7420,Pave,No_Alley_Access,Reg,Lvl,AllPub,Other,Gtl,Tier_3,Other,5,7_or_8_or_6,Gable,HBoard_to_MetalSd,BrkCmn,0.0,TA,Ex_or_TA_or_Gd,BrkTil,991.0,Y,SBrkr,1077,0,1077,0_or_1,0_or_2,TA,5,True,1,Y,0,Other,4,False,False,True,True,118000
